make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Audi,Q8,Tier 1,Official Website,8,325,58,267,82.2%,,4598,0,2026-03-25T12:23:51Z
Audi,A8,Tier 1,Official Website,4,116,44,72,62.1%,,1322,1,2026-03-25T12:45:53Z
Audi,A7,Tier 1,Official Website,3,37,7,30,81.1%,,579,0,2026-03-25T12:55:32Z
Bentley,Flying Spur,Tier 1,Official Website,2,44,13,31,70.5%,,856,0,2026-03-26T05:47:31Z
Bentley,Mulsanne (Modern),Tier 1,Official Website,1,9,6,3,33.3%,,321,0,2026-03-26T05:52:53Z
Bentley,Bentayga,Tier 1,Official Website,2,43,18,25,58.1%,,1026,0,2026-03-26T06:09:59Z
Acura,Ilx,Tier 1,Official Website,6,191,57,134,70.2%,,2918,0,2026-03-26T06:19:05Z
Bentley,Bacalar,Tier 1,Official Website,1,74,55,19,25.7%,,762,0,2026-03-26T06:22:42Z
Acura,Rlx,Tier 1,Official Website,3,100,60,40,40.0%,,708,0,2026-03-26T06:30:54Z
Acura,Tlx,Tier 1,Official Website,1,0,0,0,0%,,110,0,2026-03-26T06:32:45Z
Acura,Nsx (Gen 2),Tier 1,Official Website,2,26,15,11,42.3%,,252,0,2026-03-26T06:36:57Z
Bentley,Continental Supersports Conc.Convertible,Tier 1,Official Website,7,148,18,130,87.8%,,2933,0,2026-03-26T07:11:36Z
Acura,Integra (Modern),Tier 1,Official Website,4,0,0,0,0%,,4299,0,2026-03-26T07:48:37Z
Bentley,Continental Gt,Tier 1,Official Website,6,84,8,76,90.5%,,2619,0,2026-03-26T07:55:16Z
Acura,Zdx (Ev),Tier 1,Official Website,1,10,5,5,50.0%,,905,0,2026-03-26T08:03:42Z
Acura,Adx,Tier 1,Official Website,4,0,0,0,0%,,4255,0,2026-03-26T09:14:37Z
Bugatti,Veyron,Tier 1,Official Website,5,44,3,41,93.2%,,467,0,2026-03-26T09:42:41Z
Bugatti,Chiron,Tier 1,Official Website,6,65,2,63,96.9%,,1313,0,2026-03-26T10:04:35Z
